Area_Abbreviation,Area_Code,Area,Item_Code,Item,Element_Code,Element,Unit,Latitude,Longitude,Y2009,Y2010,Y2011,Y2012,Y2013
AF,2,Jammu and Kashmir,2511,Wheat and products,5142,Food,1000 tonnes,33.94,67.71,4538,4605,4711,4810,4895
AF,2,Jammu and Kashmir,2805,Rice (Milled Equivalent),5142,Food,1000 tonnes,33.94,67.71,415,442,476,425,422
AF,2,Jammu and Kashmir,2513,Barley and products,5521,Feed,1000 tonnes,33.94,67.71,379,315,203,367,360
AF,2,Jammu and Kashmir,2517,Millet and products,5142,Food,1000 tonnes,33.94,67.71,18,14,14,14,12
AF,2,Jammu and Kashmir,2520,"Cereals, Other",5142,Food,1000 tonnes,33.94,67.71,0,0,0,0,0
AF,2,Jammu and Kashmir,2531,Potatoes and products,5142,Food,1000 tonnes,33.94,67.71,250,192,169,196,230
AF,2,Jammu and Kashmir,2536,Sugar cane,5521,Feed,1000 tonnes,33.94,67.71,114,83,83,69,81
AF,2,Jammu and Kashmir,2542,Sugar (Raw Equivalent),5142,Food,1000 tonnes,33.94,67.71,231,240,240,250,255
AF,2,Jammu and Kashmir,2543,"Sweeteners, Other",5142,Food,1000 tonnes,33.94,67.71,2,9,21,24,16
AF,2,Jammu and Kashmir,2745,Honey,5142,Food,1000 tonnes,33.94,67.71,3,3,2,2,2
AF,2,Jammu and Kashmir,2549,"Pulses, Other and products",5521,Feed,1000 tonnes,33.94,67.71,5,4,5,4,4
AF,2,Jammu and Kashmir,2551,Nuts and products,5142,Food,1000 tonnes,33.94,67.71,28,66,71,70,44
AF,2,Jammu and Kashmir,2560,Coconuts - Incl Copra,5142,Food,1000 tonnes,33.94,67.71,0,0,0,0,0
AF,2,Jammu and Kashmir,2561,Sesame seed,5142,Food,1000 tonnes,33.94,67.71,16,19,17,16,16
AF,2,Jammu and Kashmir,2563,Olives (including preserved),5142,Food,1000 tonnes,33.94,67.71,3,2,2,2,2
AF,2,Jammu and Kashmir,2571,Soyabean Oil,5142,Food,1000 tonnes,33.94,67.71,6,15,16,16,16
AF,2,Jammu and Kashmir,2572,Groundnut Oil,5142,Food,1000 tonnes,33.94,67.71,0,0,0,0,0
AF,2,Jammu and Kashmir,2573,Sunflowerseed Oil,5142,Food,1000 tonnes,33.94,67.71,8,15,16,17,23
AF,2,Jammu and Kashmir,2574,Rape and Mustard Oil,5142,Food,1000 tonnes,33.94,67.71,6,1,2,2,2
AF,2,Jammu and Kashmir,2575,Cottonseed Oil,5142,Food,1000 tonnes,33.94,67.71,4,3,3,3,4
AF,2,Jammu and Kashmir,2577,Palm Oil,5142,Food,1000 tonnes,33.94,67.71,53,59,51,61,64
AF,2,Jammu and Kashmir,2579,Sesameseed Oil,5142,Food,1000 tonnes,33.94,67.71,1,1,2,1,1
AF,2,Jammu and Kashmir,2580,Olive Oil,5142,Food,1000 tonnes,33.94,67.71,1,1,1,1,1
AF,2,Jammu and Kashmir,2586,"Oilcrops Oil, Other",5142,Food,1000 tonnes,33.94,67.71,1,2,2,2,2
AF,2,Jammu and Kashmir,2601,Tomatoes and products,5142,Food,1000 tonnes,33.94,67.71,0,0,0,0,0
AF,2,Jammu and Kashmir,2605,"Vegetables, Other",5142,Food,1000 tonnes,33.94,67.71,1056,977,865,910,885
AF,2,Jammu and Kashmir,2611,"Oranges, Mandarines",5142,Food,1000 tonnes,33.94,67.71,38,123,109,176,145
AF,2,Jammu and Kashmir,2614,"Citrus, Other",5142,Food,1000 tonnes,33.94,67.71,1,3,32,18,39
AF,2,Jammu and Kashmir,2615,Bananas,5142,Food,1000 tonnes,33.94,67.71,38,21,28,48,82
AF,2,Jammu and Kashmir,2617,Apples and products,5142,Food,1000 tonnes,33.94,67.71,61,65,56,43,68
AF,2,Jammu and Kashmir,2618,Pineapples and products,5142,Food,1000 tonnes,33.94,67.71,0,0,0,0,0
AF,2,Jammu and Kashmir,2619,Dates,5142,Food,1000 tonnes,33.94,67.71,1,7,6,9,1
AF,2,Jammu and Kashmir,2620,Grapes and products (excl wine),5142,Food,1000 tonnes,33.94,67.71,212,257,334,472,483
AF,2,Jammu and Kashmir,2625,"Fruits, Other",5142,Food,1000 tonnes,33.94,67.71,223,244,198,236,223
AF,2,Jammu and Kashmir,2633,Cocoa Beans and products,5142,Food,1000 tonnes,33.94,67.71,0,0,1,1,1
AF,2,Jammu and Kashmir,2635,Tea (including mate),5142,Food,1000 tonnes,33.94,67.71,10,31,63,136,107
AF,2,Jammu and Kashmir,2640,Pepper,5142,Food,1000 tonnes,33.94,67.71,0,0,0,0,0
AF,2,Jammu and Kashmir,2645,"Spices, Other",5142,Food,1000 tonnes,33.94,67.71,5,5,9,10,8
AF,2,Jammu and Kashmir,2655,Wine,5142,Food,1000 tonnes,33.94,67.71,0,0,0,0,0
AF,2,Jammu and Kashmir,2656,Beer,5142,Food,1000 tonnes,33.94,67.71,3,3,3,3,3
AF,2,Jammu and Kashmir,2658,"Beverages, Alcoholic",5142,Food,1000 tonnes,33.94,67.71,0,0,0,0,0
AF,2,Jammu and Kashmir,2731,Bovine Meat,5142,Food,1000 tonnes,33.94,67.71,136,133,141,153,140
AF,2,Jammu and Kashmir,2732,Mutton & Goat Meat,5142,Food,1000 tonnes,33.94,67.71,137,157,161,155,150
AF,2,Jammu and Kashmir,2734,Poultry Meat,5142,Food,1000 tonnes,33.94,67.71,43,67,77,47,75
AF,2,Jammu and Kashmir,2735,"Meat, Other",5142,Food,1000 tonnes,33.94,67.71,12,12,12,12,12
AF,2,Jammu and Kashmir,2740,"Butter, Ghee",5142,Food,1000 tonnes,33.94,67.71,33,34,33,35,36
AF,2,Jammu and Kashmir,2743,Cream,5142,Food,1000 tonnes,33.94,67.71,0,1,3,4,18
AF,2,Jammu and Kashmir,2737,"Fats, Animals, Raw",5142,Food,1000 tonnes,33.94,67.71,14,16,16,16,15
AF,2,Jammu and Kashmir,2744,Eggs,5142,Food,1000 tonnes,33.94,67.71,28,24,32,26,40
AF,2,Jammu and Kashmir,2848,Milk - Excluding Butter,5521,Feed,1000 tonnes,33.94,67.71,115,114,114,121,123
AF,2,Jammu and Kashmir,2761,Freshwater Fish,5142,Food,1000 tonnes,33.94,67.71,2,2,2,2,2
AF,2,Jammu and Kashmir,2680,Infant food,5142,Food,1000 tonnes,33.94,67.71,1,2,2,2,2
AF,2,Jammu and Kashmir,2905,Cereals - Excluding Beer,5521,Feed,1000 tonnes,33.94,67.71,574,493,394,567,560
AF,2,Jammu and Kashmir,2907,Starchy Roots,5142,Food,1000 tonnes,33.94,67.71,250,192,169,196,230
AF,2,Jammu and Kashmir,2908,Sugar Crops,5521,Feed,1000 tonnes,33.94,67.71,114,83,83,69,81
AF,2,Jammu and Kashmir,2909,Sugar & Sweeteners,5142,Food,1000 tonnes,33.94,67.71,235,251,264,276,274
AF,2,Jammu and Kashmir,2911,Pulses,5521,Feed,1000 tonnes,33.94,67.71,5,4,5,4,4
AF,2,Jammu and Kashmir,2912,Treenuts,5142,Food,1000 tonnes,33.94,67.71,28,66,71,70,44
AF,2,Jammu and Kashmir,2913,Oilcrops,5142,Food,1000 tonnes,33.94,67.71,19,21,19,18,18
AF,2,Jammu and Kashmir,2914,Vegetable Oils,5142,Food,1000 tonnes,33.94,67.71,80,97,92,102,114
AF,2,Jammu and Kashmir,2919,Fruits - Excluding Wine,5142,Food,1000 tonnes,33.94,67.71,572,720,762,1002,1040
AF,2,Jammu and Kashmir,2922,Stimulants,5142,Food,1000 tonnes,33.94,67.71,10,31,64,136,107
AF,2,Jammu and Kashmir,2923,Spices,5142,Food,1000 tonnes,33.94,67.71,5,5,9,10,8
AF,2,Jammu and Kashmir,2924,Alcoholic Beverages,5142,Food,1000 tonnes,33.94,67.71,3,3,3,3,3
AF,2,Jammu and Kashmir,2943,Meat,5142,Food,1000 tonnes,33.94,67.71,329,369,389,367,377
AF,2,Jammu and Kashmir,2945,Offals,5142,Food,1000 tonnes,33.94,67.71,50,54,55,54,53
AF,2,Jammu and Kashmir,2946,Animal fats,5142,Food,1000 tonnes,33.94,67.71,48,51,52,54,69
AF,2,Jammu and Kashmir,2949,Eggs,5142,Food,1000 tonnes,33.94,67.71,28,24,32,26,40
AF,2,Jammu and Kashmir,2960,"Fish, Seafood",5142,Food,1000 tonnes,33.94,67.71,2,2,2,2,2
AF,2,Jammu and Kashmir,2928,Miscellaneous,5142,Food,1000 tonnes,33.94,67.71,1,2,2,2,2
